,GPS_seconds,satellite_number,variometric_derived_TEC,variometric_derived_TEC_filtered,absolute_derived_TEC,absolute_derived_TEC_filtered,latitude_piercing_point,longitude_piercing_point,satellite_azimuth,satellite_elevation_angle,distance_to_piercing_point,time
0,1326268110.0,1,0.0788048,0.0764417,-0.842415,0.228178,-44.4914,168.8957,221.13,18.27,2998.93,1642261710.0
1,1326268140.0,1,0.00661036,0.0464085,-0.541743,0.419434,-44.4456,168.924,221.26,18.42,2993.6,1642261740.0
2,1326268170.0,1,-0.032526,0.00227367,-0.326987,0.567703,-44.4003,168.9519,221.4,18.57,2988.34,1642261770.0
3,1326268200.0,1,-0.0574373,0.0231686,-0.0829866,0.786423,-44.3554,168.9792,221.53,18.71,2983.13,1642261800.0
4,1326268230.0,1,0.0979422,0.211327,0.41342,1.17687,-44.3108,169.0062,221.67,18.86,2977.96,1642261830.0
5,1326268260.0,1,0.370352,0.484018,0.820401,1.51456,-44.2667,169.0326,221.81,19.0,2972.86,1642261860.0
6,1326268290.0,1,0.438833,0.588781,0.845125,1.51174,-44.2229,169.0587,221.95,19.15,2967.8,1642261890.0
7,1326268320.0,1,0.233105,0.414148,0.644766,1.23031,-44.1794,169.0843,222.09,19.29,2962.78,1642261920.0
8,1326268350.0,1,-0.0554951,0.122812,0.452501,0.952136,-44.1364,169.1095,222.23,19.44,2957.83,1642261950.0
9,1326268380.0,1,-0.289683,-0.072707,0.314507,0.826301,-44.0936,169.1342,222.37,19.58,2952.92,1642261980.0
10,1326268410.0,1,-0.360156,-0.129739,0.407964,0.788872,-44.0513,169.1586,222.51,19.72,2948.06,1642262010.0
11,1326268440.0,1,-0.370244,-0.13542,0.354053,0.737148,-44.0093,169.1825,222.66,19.87,2943.25,1642262040.0
12,1326268470.0,1,-0.409833,-0.144525,0.355957,0.670844,-43.9676,169.206,222.8,20.01,2938.48,1642262070.0
13,1326268500.0,1,-0.42359,-0.153051,0.32586,0.601048,-43.9263,169.2292,222.95,20.15,2933.76,1642262100.0
14,1326268530.0,1,-0.470766,-0.191066,0.236944,0.460934,-43.8853,169.2519,223.1,20.29,2929.09,1642262130.0
15,1326268560.0,1,-0.580293,-0.289622,0.0613941,0.259666,-43.8446,169.2743,223.25,20.43,2924.45,1642262160.0
16,1326268590.0,1,-0.667134,-0.365767,0.000393854,0.156588,-43.8042,169.2962,223.4,20.57,2919.87,1642262190.0
17,1326268620.0,1,-0.599526,-0.295285,0.119127,0.243917,-43.7642,169.3178,223.55,20.7,2915.33,1642262220.0
18,1326268650.0,1,-0.388401,-0.0822107,0.333775,0.424847,-43.7245,169.339,223.7,20.84,2910.84,1642262250.0
19,1326268680.0,1,-0.156262,0.151914,0.485522,0.554791,-43.6851,169.3599,223.86,20.98,2906.38,1642262280.0
20,1326268710.0,1,-0.0302619,0.287022,0.479546,0.539445,-43.646,169.3804,224.01,21.12,2901.97,1642262310.0
21,1326268740.0,1,-0.0383686,0.263696,0.358029,0.357006,-43.6072,169.4005,224.17,21.25,2897.61,1642262340.0
22,1326268770.0,1,-0.171238,0.131367,0.100147,0.130442,-43.5688,169.4203,224.33,21.39,2893.29,1642262370.0
23,1326268800.0,1,-0.274053,0.032283,0.0370769,0.0216456,-43.5306,169.4397,224.48,21.52,2889.0,1642262400.0
24,1326268830.0,1,-0.266813,0.0233083,-0.00200782,-0.0168848,-43.4927,169.4587,224.64,21.65,2884.76,1642262430.0
25,1326268860.0,1,-0.28197,-0.00438858,-0.107935,-0.153532,-43.4551,169.4775,224.81,21.79,2880.56,1642262460.0
26,1326268890.0,1,-0.413782,-0.135084,-0.377535,-0.387634,-43.4178,169.4959,224.97,21.92,2876.39,1642262490.0
27,1326268920.0,1,-0.576075,-0.312441,-0.541642,-0.607221,-43.3807,169.514,225.13,22.05,2872.26,1642262520.0
28,1326268950.0,1,-0.707692,-0.46506,-0.74509,-0.780871,-43.344,169.5317,225.3,22.18,2868.18,1642262550.0
29,1326268980.0,1,-0.801188,-0.565605,-0.827718,-0.884929,-43.3075,169.5491,225.46,22.31,2864.14,1642262580.0
30,1326269010.0,1,-0.801189,-0.58217,-0.838368,-0.879633,-43.2712,169.5662,225.63,22.44,2860.12,1642262610.0
31,1326269040.0,1,-0.746449,-0.538044,-0.805883,-0.851394,-43.2353,169.583,225.79,22.57,2856.15,1642262640.0
32,1326269070.0,1,-0.694231,-0.524026,-0.814113,-0.895402,-43.1996,169.5994,225.96,22.7,2852.22,1642262670.0
33,1326269100.0,1,-0.71851,-0.544242,-0.927907,-0.925311,-43.1642,169.6156,226.13,22.82,2848.32,1642262700.0
34,1326269130.0,1,-0.678164,-0.520791,-0.800119,-0.871886,-43.129,169.6314,226.31,22.95,2844.46,1642262730.0
35,1326269160.0,1,-0.569997,-0.462942,-0.769608,-0.822995,-43.0941,169.647,226.48,23.08,2840.63,1642262760.0
36,1326269190.0,1,-0.533069,-0.411808,-0.777235,-0.774103,-43.0594,169.6622,226.65,23.2,2836.84,1642262790.0
37,1326269220.0,1,-0.394182,-0.299878,-0.535865,-0.59562,-43.025,169.6771,226.83,23.32,2833.08,1642262820.0
38,1326269250.0,1,-0.126303,-0.0742643,-0.277366,-0.311244,-42.9908,169.6918,227.0,23.45,2829.36,1642262850.0
39,1326269280.0,1,0.102749,0.166365,-0.105611,-0.0952158,-42.9569,169.7062,227.18,23.57,2825.67,1642262880.0
40,1326269310.0,1,0.269416,0.295655,0.0345237,-0.027538,-42.9232,169.7202,227.36,23.69,2822.02,1642262910.0
41,1326269340.0,1,0.317514,0.322333,-0.0238413,-0.011488,-42.8897,169.734,227.54,23.81,2818.4,1642262940.0
42,1326269370.0,1,0.365952,0.367751,0.12441,0.0989851,-42.8565,169.7475,227.72,23.93,2814.81,1642262970.0
43,1326269400.0,1,0.539605,0.508796,0.323389,0.311224,-42.8235,169.7608,227.9,24.05,2811.25,1642263000.0
44,1326269430.0,1,0.712608,0.672129,0.477205,0.470033,-42.7907,169.7737,228.08,24.17,2807.73,1642263030.0
45,1326269460.0,1,0.779099,0.721546,0.468962,0.456844,-42.7581,169.7864,228.27,24.29,2804.24,1642263060.0
