,GPS_seconds,satellite_number,variometric_derived_TEC,variometric_derived_TEC_filtered,absolute_derived_TEC,absolute_derived_TEC_filtered,latitude_piercing_point,longitude_piercing_point,satellite_azimuth,satellite_elevation_angle,distance_to_piercing_point,time
0,1326292620.0,1,0.0124949,-0.00602858,-0.227013,0.0607896,-6.2736,-170.1929,11.46,18.17,1674.5,1642286220.0
1,1326292650.0,1,0.0407314,0.0219949,-0.190032,0.108237,-6.3212,-170.1798,11.63,18.32,1670.0,1642286250.0
2,1326292680.0,1,0.0539642,0.0409393,-0.111259,0.130265,-6.3686,-170.167,11.79,18.46,1665.52,1642286280.0
3,1326292710.0,1,0.0770869,0.0518036,-0.0616694,0.154675,-6.4159,-170.1543,11.96,18.6,1661.05,1642286310.0
4,1326292740.0,1,0.0768467,0.0699987,-0.0372339,0.193697,-6.4629,-170.1419,12.12,18.75,1656.6,1642286340.0
5,1326292770.0,1,0.105991,0.0888326,0.0640738,0.209878,-6.5098,-170.1296,12.29,18.89,1652.17,1642286370.0
6,1326292800.0,1,0.0953049,0.0767444,0.00228019,0.178619,-6.5565,-170.1176,12.45,19.04,1647.75,1642286400.0
7,1326292830.0,1,0.0517207,0.0453894,0.0314113,0.154375,-6.603,-170.1058,12.62,19.19,1643.35,1642286430.0
8,1326292860.0,1,0.0514676,0.0392815,0.0514925,0.170073,-6.6493,-170.0942,12.78,19.33,1638.96,1642286460.0
9,1326292890.0,1,0.0562824,0.044958,0.0855491,0.164402,-6.6955,-170.0828,12.95,19.48,1634.59,1642286490.0
10,1326292920.0,1,0.0275273,0.0197704,0.0326057,0.114975,-6.7414,-170.0716,13.11,19.63,1630.24,1642286520.0
11,1326292950.0,1,-0.00813766,-0.0115595,0.0476865,0.094024,-6.7872,-170.0606,13.27,19.78,1625.91,1642286550.0
12,1326292980.0,1,0.00388819,-0.000628384,0.0858154,0.126374,-6.8328,-170.0497,13.44,19.92,1621.59,1642286580.0
13,1326293010.0,1,0.040451,0.0362621,0.146016,0.155505,-6.8782,-170.0391,13.6,20.07,1617.29,1642286610.0
14,1326293040.0,1,0.0577488,0.0605881,0.14131,0.160859,-6.9235,-170.0287,13.77,20.22,1612.99,1642286640.0
15,1326293070.0,1,0.0718041,0.0765324,0.190722,0.171177,-6.9685,-170.0185,13.93,20.37,1608.72,1642286670.0
16,1326293100.0,1,0.0995015,0.100908,0.210273,0.192424,-7.0134,-170.0084,14.1,20.52,1604.47,1642286700.0
17,1326293130.0,1,0.114187,0.124999,0.230985,0.202409,-7.0581,-169.9986,14.27,20.67,1600.23,1642286730.0
18,1326293160.0,1,0.111624,0.125125,0.21388,0.175681,-7.1026,-169.9889,14.43,20.82,1596.01,1642286760.0
19,1326293190.0,1,0.0794939,0.0885003,0.171978,0.111171,-7.1469,-169.9794,14.6,20.98,1591.8,1642286790.0
20,1326293220.0,1,0.0168061,0.0366439,0.0902997,0.0533644,-7.191,-169.9701,14.76,21.13,1587.62,1642286820.0
21,1326293250.0,1,-0.0173676,0.00428638,0.103866,0.0285431,-7.2349,-169.9609,14.93,21.28,1583.45,1642286850.0
22,1326293280.0,1,-0.0360008,-0.015697,0.0516972,-0.00363018,-7.2787,-169.952,15.09,21.43,1579.29,1642286880.0
