station,latitude,longitude,elevation
AB01,52.21,-174.20,25.48
AB02,52.97,-168.85,192.80
AB04,63.66,-170.57,136.55
AB06,54.89,-163.42,500.43
AB07,55.35,-160.48,89.57
AB08,60.38,-166.20,26.51
AB09,65.61,-168.06,162.07
AB11,64.56,-165.37,349.43
AB12,58.95,-161.75,587.09
AB13,56.31,-158.50,487.82
AB14,59.11,-159.09,657.64
AB15,61.04,-159.88,560.33
AB17,63.89,-160.69,117.43
AB18,66.86,-162.61,37.11
AB21,51.86,-176.66,59.41
AB22,59.90,-154.70,199.84
AB25,62.93,-156.02,961.05
AB27,67.06,-156.90,508.10
AB28,62.09,-152.81,1582.74
AB33,67.25,-150.17,334.77
AB35,60.08,-142.39,536.87
AB36,65.03,-150.74,816.54
AB37,62.97,-145.45,1136.65
AB39,66.56,-145.21,147.67
AB41,64.78,-141.16,285.95
AB42,59.34,-138.90,773.55
AB43,58.20,-136.64,27.18
AB44,59.53,-135.23,304.39
AB45,68.76,-148.87,507.02
AB46,68.12,-145.57,647.88
AB48,56.25,-134.65,5.33
AB49,55.58,-133.07,17.54
AB50,58.42,-134.55,51.78
AB51,56.80,-132.91,76.01
AB53,56.58,-132.87,1016.29
ABBZ,-77.46,166.91,1734.27
ABVI,18.73,-64.33,-35.59
AC02,56.95,-154.18,126.88
AC03,59.77,-151.86,19.73
AC06,59.76,-150.89,631.53
AC07,65.96,-161.29,176.31
AC08,58.93,-153.64,644.25
AC09,59.87,-144.52,368.92
AC10,54.52,-164.89,170.50
AC11,61.81,-148.33,790.94
AC12,54.83,-159.59,84.39
AC13,55.82,-155.62,222.70
AC14,60.85,-148.00,748.74
AC15,60.48,-149.72,151.54
AC16,60.52,-148.09,34.06
AC17,60.66,-152.40,882.69
AC18,58.93,-152.25,214.80
AC19,62.52,-153.61,546.53
AC20,60.93,-149.35,43.77
AC21,55.92,-159.13,170.94
AC23,60.48,-150.88,80.88
AC24,58.68,-156.65,36.36
AC25,55.09,-162.31,584.28
AC26,58.21,-154.15,190.18
AC27,59.25,-154.16,417.52
AC28,55.08,-160.05,365.10
AC29,59.43,-146.34,56.59
AC31,64.64,-162.24,228.33
AC32,61.47,-150.74,1347.77
AC33,62.67,-150.69,1521.16
AC34,57.22,-153.28,103.27
AC35,59.38,-150.79,408.57
AC36,60.96,-150.61,46.52
AC37,60.44,-153.87,1626.61
AC38,57.75,-153.34,43.89
AC39,58.61,-152.39,157.25
AC40,56.93,-158.62,39.91
AC41,55.91,-160.41,407.75
AC42,54.47,-162.78,257.91
AC43,59.52,-149.63,69.57
AC44,61.24,-149.57,832.18
AC45,56.56,-154.18,451.04
AC46,61.99,-151.52,619.79
AC47,60.08,-152.62,922.36
AC48,60.65,-147.34,379.52
AC50,65.55,-164.57,516.84
AC51,61.50,-151.84,957.46
AC52,57.57,-157.57,51.83
AC53,61.77,-150.07,57.49
AC57,61.14,-145.74,826.48
AC58,57.16,-170.22,19.38
AC59,59.57,-153.59,308.63
AC60,52.71,174.08,18.31
AC61,64.03,-142.08,745.40
AC62,63.08,-146.31,1347.16
AC63,63.50,-145.85,815.14
AC64,62.71,-144.30,774.57
AC65,62.83,-143.70,735.89
AC66,51.38,179.30,106.79
AC67,57.79,-152.43,347.33
AC70,63.30,-148.19,810.89
AC71,64.05,-145.71,364.01
AC72,63.70,-145.89,558.86
AC74,63.46,-148.81,668.61
AC75,63.00,-149.61,608.66
AC76,63.04,-143.26,1585.32
AC77,62.69,-145.43,746.90
AC78,63.11,-142.03,643.74
AC79,60.00,-147.40,287.76
AC80,62.39,-151.77,1114.51
ACHO,7.41,-80.17,35.60
ACP1,9.37,-79.95,12.83
ACP6,9.24,-79.41,943.54
ACSB,33.27,-117.44,-12.29
ACSO,40.23,-82.98,248.18
ACSX,33.27,-117.44,-12.29
AGMT,34.59,-116.43,1337.85
AGPR,18.47,-67.11,73.00
AHID,42.77,-111.06,1975.55
AIRS,16.74,-62.21,84.42
ALAM,37.36,-115.16,1090.01
ALPA,11.53,-72.92,1.81
ALUT,40.58,-111.62,2824.02
AMU2,-90.00,-110.75,2823.00
ANA1,34.02,-119.36,22.44
AOPR,18.35,-66.75,319.58
APEC,0.33,-78.55,1722.00
AR27,33.34,-117.32,32.32
AR53,33.38,-117.48,111.05
ARML,35.92,-89.80,50.05
ARVL,-77.83,166.66,131.90
ASKY,75.73,-58.26,687.46
AT01,63.48,-162.01,21.61
ATQK,70.47,-157.41,28.01
ATW2,61.60,-149.13,97.13
AV01,59.36,-153.46,487.27
AV02,59.33,-153.43,229.87
AV04,59.36,-153.44,915.95
AV06,54.15,-165.77,463.14
AV07,54.16,-166.04,521.13
AV08,54.14,-166.03,598.46
AV09,53.88,-166.54,105.72
AV10,54.10,-165.93,329.59
AV11,59.37,-153.35,114.97
AV12,54.21,-165.90,404.77
AV13,54.15,-165.90,494.85
AV14,54.12,-165.84,396.40
AV15,54.10,-165.71,457.47
AV16,59.39,-153.54,25.43
AV17,59.40,-153.45,29.45
AV18,59.38,-153.44,367.18
AV19,59.35,-153.41,647.44
AV20,59.35,-153.43,542.24
AV24,54.59,-164.75,481.80
AV25,54.53,-164.78,652.03
AV26,54.57,-164.58,577.70
AV27,54.49,-164.72,978.01
AV29,54.47,-164.59,971.97
AV34,54.72,-163.71,636.43
AV35,54.85,-164.39,647.01
AV36,54.77,-164.13,648.44
AV37,54.71,-164.00,796.07
AV38,54.83,-163.78,492.34
AV39,54.81,-164.00,797.41
AV40,54.64,-163.74,413.97
AVN2,36.53,-96.08,261.00
AVRY,34.47,-117.15,888.92
AZU1,34.13,-117.90,144.75
B001,48.04,-123.13,237.00
B003,48.06,-124.14,284.66
B004,48.20,-124.43,30.00
B005,48.06,-123.50,302.70
B006,48.06,-123.50,302.00
B007,48.06,-123.50,293.00
B009,48.65,-123.45,15.00
B010,48.65,-123.45,5.00
B011,48.65,-123.45,22.00
B012,48.92,-125.54,13.00
B013,47.81,-122.91,75.30
B014,47.51,-123.81,64.70
B017,47.00,-123.56,33.90
B018,46.98,-123.02,10.00
B019,46.65,-123.65,9.00
B020,46.38,-123.84,31.20
B022,45.95,-123.93,10.00
B023,46.11,-123.08,177.40
B024,45.64,-123.86,37.70
B026,45.31,-123.82,232.00
B027,44.50,-122.96,216.00
B028,44.49,-122.96,140.00
B030,43.97,-122.77,263.60
B031,43.66,-123.40,71.00
B032,43.67,-123.39,63.80
B033,43.29,-123.12,312.10
B035,42.50,-123.38,370.00
B036,42.51,-123.38,315.30
B039,41.47,-122.48,923.90
B040,41.83,-122.42,819.50
B045,40.44,-124.00,29.40
B046,40.32,-124.28,44.00
B047,40.25,-124.17,80.00
B049,40.24,-123.82,117.00
B054,37.86,-122.20,405.60
B057,38.03,-122.57,14.40
B058,36.80,-121.58,114.20
B065,36.74,-121.47,643.00
B066,36.86,-121.59,67.00
B067,36.77,-121.57,126.20
B072,35.83,-120.35,397.70
B073,35.95,-120.47,535.28
B075,35.93,-120.52,583.00
B076,35.94,-120.42,445.00
B078,35.84,-120.35,386.80
B079,35.72,-120.21,436.60
B081,33.71,-116.71,1467.00
B082,33.60,-116.60,1374.84
B084,33.61,-116.46,1271.00
B086,33.56,-116.53,1392.00
B087,33.50,-116.60,1139.00
B088,33.37,-116.62,1403.87
B089,33.60,-116.60,1362.00
B093,33.59,-116.76,1244.00
B201,46.30,-122.26,990.00
B202,46.24,-122.14,1218.60
B203,46.17,-122.33,814.40
B204,46.14,-122.17,784.20
B206,44.72,-110.51,2399.50
B207,44.62,-110.85,2182.00
B208,44.56,-110.40,2405.80
B900,35.69,-120.00,219.50
B901,35.69,-120.14,275.30
B916,36.19,-117.67,1859.90
B917,35.41,-117.26,1192.00
B918,35.94,-117.60,1042.60
B921,35.59,-117.46,694.50
B926,48.82,-124.13,191.60
B927,49.22,-124.81,39.00
B928,48.83,-125.13,9.50
B932,40.28,-124.22,52.00
B933,40.06,-123.97,268.10
B934,39.84,-123.69,331.00
B935,40.48,-123.57,696.70
B941,46.99,-122.22,151.00
B943,47.81,-122.91,84.20
B944,44.39,-110.54,2364.60
B945,44.89,-110.74,2241.40
B946,33.54,-116.59,1429.00
B948,35.83,-120.34,428.00
B950,44.71,-110.68,2328.40
BACK,-74.43,-102.48,37.70
BAKU,40.37,49.81,94.00
BAMO,40.41,-117.20,1792.48
BAR1,33.48,-119.03,14.81
BARA,18.21,-71.10,6.76
BARO,71.33,-156.67,11.50
BATG,-79.01,170.72,31.09
BBDM,34.58,-119.98,204.88
BBID,44.19,-111.53,1789.92
BBRY,34.26,-116.88,2051.08
BCYI,44.32,-113.41,2173.41
BEAN,-75.96,-69.30,892.40
BEMT,34.00,-116.00,1373.65
BENN,-84.79,-116.46,1417.00
BEPK,35.88,-118.07,2471.11
BERP,-74.55,-111.88,312.00
BGGY,17.05,-61.86,356.30
BIJA,9.75,-84.58,555.67
BILL,33.58,-117.06,470.05
BIS0,4.89,-75.34,5088.39
BKAP,35.29,-116.08,252.05
BKMS,33.96,-118.09,11.00
BLA1,37.21,-80.42,605.70
BLAS,79.54,-22.97,484.08
BLDF,-77.72,162.26,100.00
BLW2,42.77,-109.56,2215.59
BLYN,48.02,-122.93,613.25
BMCL,28.66,28.66,2241.00
BMHL,34.25,-116.05,722.65
BOAR,-75.04,-100.59,72.80
BOM2,-77.51,167.44,1966.00
BON2,9.76,-85.20,28.37
BOZ1,40.53,28.78,70.00
BRN2,26.52,87.27,79.00
BRSG,32.37,-64.70,-10.00
BSA1,-67.82,-67.29,127.60
BSRY,34.92,-117.01,613.50
BTDM,34.29,-118.19,678.26
BUMS,-85.96,174.50,2648.90
BURI,-79.15,155.89,2007.00
BURN,42.78,-117.84,1180.90
BUY1,40.84,29.12,47.00
BVPP,35.16,-119.35,123.05
BYSP,18.41,-66.16,49.24
BZBN,40.53,28.78,70.00
CABA,10.24,-85.34,26.96
CABL,42.84,-124.56,37.86
CALV,12.57,-86.85,287.43
CAMO,39.34,16.45,1269.00
CAND,35.94,-120.43,568.42
CANZ,8.20,-81.52,372.03
CAPF,-66.01,-60.56,100.30
CAPI,5.35,-72.43,935.50
CARH,35.89,-120.43,480.28
CASE,33.46,-117.40,776.51
CAST,39.19,-110.68,2245.05
CAT2,33.31,-118.33,477.24
CAT3,33.45,-118.48,5.15
CBHS,34.14,-118.63,284.63
CBMD,19.74,-79.76,18.77
CCCC,35.57,-117.67,813.98
CCRI,39.23,16.78,708.88
CDMT,34.83,-116.34,936.59
CDVV,34.25,-106.97,1552.03
CEDA,40.68,-112.86,1472.50
CGDM,34.24,-117.96,704.71
CGSJ,-31.37,-69.42,1461.40
CGUI,12.98,-87.56,746.12
CHIS,15.81,-90.29,242.00
CHLL,40.45,-104.64,1408.87
CHMS,34.64,-117.83,760.33
CHNR,24.19,91.52,-24.36
CHUM,43.00,74.75,716.33
CHWN,27.67,84.39,137.00
CHZZ,45.49,-123.98,50.77
CIRX,34.11,-118.94,488.22
CJTR,34.82,-92.27,126.00
CLBD,33.14,-117.31,20.61
CLGO,64.87,-147.86,196.11
CLOV,40.56,-114.87,2084.94
CLRK,-77.34,-141.87,1000.85
CN00,17.67,-61.79,-21.92
CN01,17.05,-61.77,16.64
CN02,18.20,-63.05,-8.93
CN04,14.02,-60.97,24.44
CN05,18.56,-68.36,-33.23
CN06,18.79,-70.66,2311.75
CN07,19.76,-70.57,-32.25
CN09,19.69,-72.14,-15.01
CN10,17.42,-75.97,-16.31
CN11,17.02,-77.78,-10.67
CN12,18.00,-76.75,169.95
CN13,24.07,-74.53,-34.57
CN14,20.98,-73.68,-34.20
CN15,26.56,-78.69,-27.54
CN16,21.42,-77.85,106.75
CN18,17.41,-83.94,1.46
CN19,12.61,-70.05,-0.33
CN20,9.35,-82.26,13.19
CN21,13.40,-87.43,15.82
CN22,12.38,-87.04,28.82
CN23,17.26,-88.78,55.36
CN24,19.58,-88.05,7.94
CN25,16.23,-92.14,1649.28
CN26,22.38,-89.68,-12.17
CN27,19.67,-69.94,-21.11
CN28,8.63,-79.03,25.91
CN29,14.05,-83.37,30.38
CN30,11.99,-83.77,29.91
CN35,13.38,-81.36,47.90
CN36,8.82,-75.82,15.35
CN37,10.79,-75.26,1.47
CN38,12.22,-71.99,10.50
CN39,10.21,-70.52,542.28
CN40,12.18,-68.96,33.35
CN41,8.94,-68.04,81.28
CN42,11.95,-66.68,-3.65
CN43,11.82,-64.60,2.00
CN44,11.00,-63.91,835.95
CN45,10.84,-60.94,-5.55
CN46,12.49,-61.43,-22.59
CN47,13.71,-60.94,177.16
CN48,15.44,-61.42,279.88
CN49,15.67,-63.62,-31.52
CN51,18.59,-63.43,-35.08
CN53,21.78,-72.25,-15.64
CN55,8.24,-80.54,44.67
CN56,8.55,-78.01,76.72
CNC0,21.17,-86.82,-0.22
CNG2,12.50,-86.70,513.55
CNPP,33.86,-117.61,300.31
CON2,-77.53,167.09,3403.00
COON,40.65,-112.12,1610.02
COPR,34.41,-119.88,-22.83
CORV,44.59,-123.30,105.60
CORX,32.42,-117.25,74.27
COTE,-77.81,162.00,1878.10
COTM,29.39,-95.00,-18.55
CPBN,35.07,-117.57,835.85
CPXX,46.84,-122.26,533.62
CRAR,-77.85,166.67,-19.16
CRBT,35.79,-120.75,205.45
CRDI,-82.86,-53.20,943.30
CRHS,33.82,-118.27,-23.62
CRLR,18.42,-68.94,-5.54
CRRS,33.07,-115.74,-81.88
CRSE,18.77,-69.04,86.61
CRU1,34.03,-119.78,702.20
CSCI,34.17,-119.04,70.86
CSHR,46.87,-121.73,2882.34
CSPS,-31.21,-69.64,2419.10
CSST,34.41,-119.37,162.50
CTDM,34.52,-118.61,406.09
CTMS,34.12,-116.37,966.50
CUC1,7.93,-72.51,321.16
CUPR,18.31,-65.28,-30.39
CVMS,35.54,-89.64,72.95
DAEX,32.22,-115.42,399.32
DANE,74.31,-20.20,177.09
DCPS,24.30,91.78,-14.00
DCUT,40.41,-111.53,1797.28
DDSN,43.12,-123.24,953.10
DEN1,29.51,-95.26,-17.20
DEN2,29.50,-95.25,-18.10
DEN3,29.49,-95.25,-19.50
DEN4,29.50,-95.23,-20.20
DGJG,71.79,-29.85,1494.17
DHL1,33.39,-115.79,-25.00
DIXN,38.47,-121.83,-9.14
DKSG,76.35,-61.68,609.77
DLPA,28.98,82.82,2535.00
DLUZ,33.43,-117.31,212.74
DNTH,-78.08,163.98,912.70
DOMI,15.31,-61.39,-21.22
DSSC,33.73,-116.71,1660.89
DUPT,-64.80,-62.82,40.00
E1G2,-77.53,167.14,3654.35
ECFS,33.65,-117.41,801.41
ECHO,37.92,-114.26,1684.11
ECSD,43.73,-96.61,444.36
EDPP,34.95,-118.83,379.85
EGAN,39.35,-114.94,1998.28
ELEN,16.92,-89.87,118.14
ELKO,40.91,-115.82,2016.90
ELLY,33.58,-118.13,-2.87
ELMA,12.47,-86.67,445.24
ELVI,10.39,-85.45,81.86
EMIG,44.07,-112.93,1946.04
EOUT,41.25,-111.93,1677.85
EPZA,10.14,-85.57,668.63
ESN1,40.60,28.92,2.00
EWPP,34.10,-117.53,330.49
EYAC,60.55,-145.75,146.05
FALL,-85.31,-143.63,262.10
FCDE,25.62,-80.31,1.00
FCHO,25.91,-80.12,1.00
FCI1,25.91,-80.14,2.00
FCI2,25.91,-80.14,1.00
FERN,35.34,-112.45,1767.92
FGST,34.73,-120.01,904.09
FIE0,-76.14,168.42,153.71
FLM5,-77.53,160.27,1869.82
FMVT,34.36,-118.88,617.01
FONP,-65.25,-61.65,65.47
FOOT,39.37,-113.81,1547.40
FORE,40.51,-111.38,1796.68
FOS1,-71.31,-68.32,158.80
FRED,36.99,-112.50,1529.73
FRKI,-76.16,168.38,0.00
FS63,61.47,-149.72,42.28
FS82,61.55,-149.82,64.02
FTP4,-78.93,162.56,243.20
GANJ,40.68,46.36,443.50
GARL,40.42,-119.36,1640.24
GCEA,19.29,-81.38,16.06
GCFS,19.31,-81.18,-10.73
GLDK,-72.23,-100.59,55.70
GLRS,33.27,-115.52,-48.64
GLS1,66.48,-46.31,2150.00
GLS2,69.09,-39.65,2917.00
GLS3,77.43,-51.11,2480.00
GMEZ,-73.89,-68.54,1420.26
GMMA,77.81,-19.65,521.83
GMPK,33.05,-114.83,591.19
GMRC,34.78,-115.66,1298.21
GNPS,34.31,-114.19,232.40
